NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Richmond County, Georgia",200337,192073,46861,13,245
"Rockdale County, Georgia",85008,84151,11667,13,247
"Schley County, Georgia",4963,4927,1061,13,249
"Screven County, Georgia",14574,14253,3537,13,251
"Seminole County, Georgia",8815,8686,2214,13,253
"Spalding County, Georgia",63979,62836,13600,13,255
"Stephens County, Georgia",26003,24802,4667,13,257
"Stewart County, Georgia",5991,5308,1400,13,259
"Sumter County, Georgia",32425,30489,9359,13,261
"Talbot County, Georgia",6772,6748,1577,13,263
"Taliaferro County, Georgia",1674,1651,494,13,265
"Tattnall County, Georgia",25023,20666,5325,13,267
"Taylor County, Georgia",8700,8411,2454,13,269
"Telfair County, Georgia",16312,12442,4246,13,271
"Terrell County, Georgia",9365,8981,2633,13,273
"Thomas County, Georgia",44715,43663,12067,13,275
"Tift County, Georgia",40430,38847,8907,13,277
"Toombs County, Georgia",27270,26904,7196,13,279
"Marion County, Alabama",30641,29690,6210,01,093
"Marshall County, Alabama",93070,91975,18353,01,095
"Mobile County, Alabama",412297,403138,78568,01,097
"Monroe County, Alabama",22993,22777,5916,01,099
"Montgomery County, Alabama",229376,220734,45028,01,101
"Morgan County, Alabama",119330,117763,17733,01,103
"Perry County, Alabama",10525,9829,2646,01,105
"Pickens County, Alabama",19646,19333,5304,01,107
"Pike County, Alabama",32750,30879,8353,01,109
"Randolph County, Alabama",22843,22267,5145,01,111
"Russell County, Alabama",53938,53269,11819,01,113
"St. Clair County, Alabama",83530,81150,12026,01,115
"Shelby County, Alabama",195237,192815,14842,01,117
"Sumter County, Alabama",13669,13270,5056,01,119
"Talladega County, Alabama",82194,78773,18030,01,121
"Tallapoosa County, Alabama",41534,40895,7983,01,123
"Tuscaloosa County, Alabama",194254,184698,35496,01,125
"Walker County, Alabama",67016,65903,13072,01,127
"Washington County, Alabama",17407,17143,2935,01,129
"Wilcox County, Alabama",11706,11403,4493,01,131
"Winston County, Alabama",24432,23890,5788,01,133
